web-scraper-order,web-scraper-start-url,restaurants,restaurants-href,menu
1554986575-76,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Chick'n Lick'n15 – 25min4.3Very good(50+)BurgersChickenAmerican,https://deliveroo.ie/menu/dublin/dublin-1/chickn-lickn?day=today&time=ASAP,Fillet Burger
1554986546-26,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Pitt Bros BBQ South35 – 45min4.5Excellent(50+)BBQAmerican,https://deliveroo.ie/menu/dublin/dublin-2/pitt-bros?day=today&time=ASAP,1/2 Chicken
1554986564-61,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Ham Pizza
1554986585-91,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Rocket's10 – 20min4.3Very good(50+)BurgersAmericanDessertPowerlist,https://deliveroo.ie/menu/dublin/international-financial-services-centre/rockets?day=today&time=ASAP,Cheeseburger
1554986589-96,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,8 Pieces Deluxe Boneless Feast
1554986538-5,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Luigi Malones25 – 35min3.8Good(50+)AmericanPizza,https://deliveroo.ie/menu/dublin/dublin-2/luigi-malones?day=today&time=ASAP,Garlic Bread (v)
1554986533-2,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,The Bold Buffalo18:45Pre-orderAmericanChickenWings,https://deliveroo.ie/menu/dublin/merchants-quay/the-bold-buffalo?day=today&time=1845,Honey Butter
1554986562-48,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The 7 Ounce
1554986556-35,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,The BLT
1554986580-88,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Little Bacon Cheeseburger
